stop_frame,all_noun_classes,all_nouns
P02_108_17297.jpg,10,glass
P02_108_17573.jpg,10,glass
P02_108_17828.jpg,10,glass
P02_108_18016.jpg,10,glass
P02_108_1804.jpg,3,cupboard
P02_108_18334.jpg,10,glass
P02_108_18590.jpg,10,glass
P02_108_18941.jpg,8,drawer
P02_108_19047.jpg,1,spoon
P02_108_19093.jpg,8,drawer
P02_108_19701.jpg,1,spoon
P02_108_19785.jpg,"1,7","spoon,bowl"
P02_108_20044.jpg,1,spoon
P02_108_20084.jpg,"1,7","spoon,bowl"
P02_108_20328.jpg,"10,7","glass,bowl"
P02_108_20490.jpg,10,glass
P02_108_21358.jpg,"7,1","bowl,spoon"
P02_108_2243.jpg,3,cupboard
P02_108_22782.jpg,"7,1","bowl,spoon"
P02_108_23231.jpg,1,spoon
P02_108_23349.jpg,1,spoon
P02_108_23504.jpg,"11,7","hand,bowl"
P02_108_23827.jpg,11,hand
P02_108_23982.jpg,"11,7","hand,bowl"
P02_108_24277.jpg,"25,11","dough,hand"
P02_108_2432.jpg,3,cupboard
P02_108_24600.jpg,11,hand
P02_108_24730.jpg,"11,7","hand,bowl"
P02_108_25772.jpg,25,dough
P02_108_2594.jpg,3,cupboard
P02_108_27245.jpg,25,dough
P02_108_27305.jpg,"25,7","dough,bowl"
P02_108_2745.jpg,3,cupboard
P02_108_27543.jpg,7,bowl
P02_108_28350.jpg,"25,11","dough,hand"
P02_108_2905.jpg,3,cupboard
P02_108_29399.jpg,7,bowl
P02_108_29595.jpg,"25,11","dough,hand"
P02_108_30287.jpg,"25,11","dough,hand"
P02_108_3042.jpg,3,cupboard
P02_108_3106.jpg,3,cupboard
P02_108_31381.jpg,7,bowl
P02_108_32340.jpg,0,tap
P02_108_32517.jpg,11,hand
P02_108_33349.jpg,0,tap
P02_108_33492.jpg,11,hand
P02_108_33745.jpg,8,drawer
P02_108_33802.jpg,8,drawer
P02_108_33860.jpg,8,drawer
P02_108_34071.jpg,25,dough
P02_108_34209.jpg,7,bowl
P02_108_34516.jpg,7,bowl
P02_108_34842.jpg,"1,4","spoon,knife"
P02_108_35060.jpg,"1,4","spoon,knife"
P02_108_36178.jpg,3,cupboard
P02_108_36259.jpg,3,cupboard
P02_108_36338.jpg,3,cupboard
P02_108_37076.jpg,5,pan
P02_108_37152.jpg,5,pan
P02_108_37796.jpg,0,tap
P02_108_38155.jpg,0,tap
P02_108_38190.jpg,9,sponge
P02_108_38237.jpg,9,sponge
P02_108_38320.jpg,9,sponge
P02_108_38689.jpg,5,pan
P02_108_3883.jpg,3,cupboard
P02_108_39025.jpg,0,tap
P02_108_39114.jpg,9,sponge
P02_108_39262.jpg,9,sponge
P02_108_39359.jpg,9,sponge
P02_108_39582.jpg,5,pan
P02_108_39803.jpg,0,tap
P02_108_39858.jpg,9,sponge
P02_108_39977.jpg,9,sponge
P02_108_40299.jpg,5,pan
P02_108_4044.jpg,7,bowl
P02_108_40615.jpg,9,sponge
P02_108_40666.jpg,0,tap
P02_108_4112.jpg,7,bowl
P02_108_41298.jpg,0,tap
P02_108_41423.jpg,5,pan
P02_108_4184.jpg,7,bowl
P02_108_4206.jpg,3,cupboard
P02_108_42394.jpg,0,tap
P02_108_42814.jpg,0,tap
P02_108_4302.jpg,7,bowl
P02_108_43324.jpg,9,sponge
P02_108_43356.jpg,0,tap
P02_108_43390.jpg,9,sponge
P02_108_43418.jpg,0,tap
P02_108_43446.jpg,9,sponge
P02_108_43745.jpg,9,sponge
P02_108_43784.jpg,0,tap
P02_108_44141.jpg,0,tap
P02_108_44224.jpg,1,spoon
P02_108_44272.jpg,9,sponge
P02_108_44332.jpg,1,spoon
P02_108_44381.jpg,9,sponge
P02_108_44438.jpg,0,tap
P02_108_44508.jpg,1,spoon
P02_108_44577.jpg,0,tap
P02_108_44615.jpg,1,spoon
P02_108_44665.jpg,10,glass
P02_108_44703.jpg,0,tap
P02_108_44757.jpg,"10,0","glass,tap"
P02_108_44805.jpg,9,sponge
P02_108_45017.jpg,10,glass
P02_108_45226.jpg,9,sponge
P02_108_45266.jpg,0,tap
P02_108_45399.jpg,10,glass
P02_108_45526.jpg,0,tap
P02_108_4561.jpg,3,cupboard
P02_108_45763.jpg,"4,1","knife,spoon"
P02_108_45802.jpg,9,sponge
P02_108_45902.jpg,1,spoon
P02_108_46183.jpg,4,knife
P02_108_46340.jpg,9,sponge
P02_108_4636.jpg,10,glass
P02_108_46374.jpg,0,tap
P02_108_46441.jpg,4,knife
P02_108_46500.jpg,4,knife
P02_108_46511.jpg,1,spoon
P02_108_4668.jpg,3,cupboard
P02_108_46795.jpg,0,tap
P02_108_46886.jpg,1,spoon
P02_108_47108.jpg,11,hand
P02_108_47444.jpg,9,sponge
P02_108_47747.jpg,9,sponge
P02_108_47770.jpg,0,tap
P02_108_4780.jpg,"10,7","glass,bowl"
P02_108_47821.jpg,0,tap
P02_108_47869.jpg,9,sponge
P02_108_47972.jpg,9,sponge
P02_108_48195.jpg,0,tap
P02_108_48283.jpg,11,hand
P02_108_48351.jpg,0,tap
P02_108_48425.jpg,11,hand
P02_108_48532.jpg,11,hand
P02_108_49740.jpg,12,fridge
P02_108_4980.jpg,10,glass
P02_108_49802.jpg,8,drawer
P02_108_50050.jpg,8,drawer
P02_108_50085.jpg,12,fridge
P02_108_50573.jpg,8,drawer
P02_108_51583.jpg,8,drawer
P02_108_51634.jpg,4,knife
P02_108_51673.jpg,8,drawer
P02_108_5214.jpg,"10,7","glass,bowl"
P02_108_52303.jpg,4,knife
P02_108_5330.jpg,"10,7","glass,bowl"
P02_108_5491.jpg,10,glass
P02_108_5722.jpg,"10,7","glass,bowl"
P02_108_57555.jpg,3,cupboard
P02_108_57637.jpg,10,glass
P02_108_57708.jpg,3,cupboard
P02_108_57834.jpg,10,glass
P02_108_58023.jpg,"7,10","bowl,glass"
P02_108_58199.jpg,0,tap
P02_108_58379.jpg,0,tap
P02_108_58629.jpg,7,bowl
P02_108_58861.jpg,9,sponge
P02_108_58893.jpg,0,tap
P02_108_5896.jpg,10,glass
P02_108_58986.jpg,7,bowl
P02_108_59086.jpg,0,tap
P02_108_59199.jpg,7,bowl
P02_108_59444.jpg,0,tap
P02_108_59609.jpg,0,tap
P02_108_59771.jpg,0,tap
P02_108_60386.jpg,0,tap
P02_108_60917.jpg,0,tap
P02_108_61007.jpg,9,sponge
P02_108_61058.jpg,9,sponge
P02_108_61189.jpg,9,sponge
P02_108_61876.jpg,9,sponge
P02_108_61914.jpg,0,tap
P02_108_62377.jpg,0,tap
P02_108_62606.jpg,9,sponge
P02_108_62650.jpg,0,tap
P02_108_62727.jpg,0,tap
P02_108_62804.jpg,0,tap
P02_108_63472.jpg,0,tap
P02_108_63540.jpg,11,hand
P02_108_63573.jpg,0,tap
P02_108_63631.jpg,11,hand
P02_108_63776.jpg,11,hand
P02_108_6827.jpg,11,hand
P02_108_7618.jpg,8,drawer
P02_108_7691.jpg,1,spoon
P02_108_7747.jpg,8,drawer
P02_108_8012.jpg,7,bowl
P02_108_8174.jpg,7,bowl
P02_108_8214.jpg,1,spoon
P02_108_8249.jpg,6,lid
P02_108_8459.jpg,12,fridge
P02_108_8566.jpg,12,fridge
P02_108_8666.jpg,12,fridge
P02_108_9153.jpg,7,bowl
P02_108_9275.jpg,7,bowl
P02_108_9347.jpg,6,lid
P02_108_9773.jpg,8,drawer
P02_108_9839.jpg,1,spoon
P02_109_1051.jpg,11,hand
P02_109_12582.jpg,16,onion
P02_109_16088.jpg,4,knife
P02_109_16291.jpg,3,cupboard
P02_109_1636.jpg,16,onion
P02_109_16586.jpg,5,pan
P02_109_16691.jpg,5,pan
P02_109_16787.jpg,3,cupboard
P02_109_16995.jpg,3,cupboard
P02_109_17108.jpg,3,cupboard
P02_109_17362.jpg,5,pan
P02_109_17921.jpg,12,fridge
P02_109_17999.jpg,28,meat
P02_109_18588.jpg,28,meat
P02_109_190.jpg,4,knife
P02_109_19135.jpg,4,knife
P02_109_19671.jpg,"16,5","onion,pan"
P02_109_20234.jpg,8,drawer
P02_109_20521.jpg,8,drawer
P02_109_20652.jpg,5,pan
P02_109_21617.jpg,"16,5","onion,pan"
P02_109_23052.jpg,4,knife
P02_109_23656.jpg,4,knife
P02_109_24972.jpg,4,knife
P02_109_25050.jpg,5,pan
P02_109_2546.jpg,16,onion
P02_109_25577.jpg,"16,5","onion,pan"
P02_109_26088.jpg,5,pan
P02_109_26126.jpg,4,knife
P02_109_26667.jpg,28,meat
P02_109_27161.jpg,4,knife
P02_109_2746.jpg,16,onion
P02_109_27906.jpg,"16,5","onion,pan"
P02_109_29426.jpg,5,pan
P02_109_2951.jpg,4,knife
P02_109_29717.jpg,16,onion
P02_109_31545.jpg,5,pan
P02_109_316.jpg,4,knife
P02_109_31674.jpg,"16,5","onion,pan"
P02_109_31875.jpg,28,meat
P02_109_32012.jpg,"28,5","meat,pan"
P02_109_32128.jpg,28,meat
P02_109_32240.jpg,"28,5","meat,pan"
P02_109_32383.jpg,28,meat
P02_109_3246.jpg,16,onion
P02_109_32504.jpg,28,meat
P02_109_32633.jpg,28,meat
P02_109_32791.jpg,28,meat
P02_109_32938.jpg,28,meat
P02_109_33001.jpg,28,meat
P02_109_33089.jpg,28,meat
P02_109_33184.jpg,28,meat
P02_109_33350.jpg,5,pan
P02_109_3343.jpg,16,onion
P02_109_33575.jpg,"28,5","meat,pan"
P02_109_33893.jpg,"28,5","meat,pan"
P02_109_3484.jpg,16,onion
P02_109_36252.jpg,"28,5","meat,pan"
P02_109_3759.jpg,16,onion
P02_109_391.jpg,0,tap
P02_109_39858.jpg,"28,5","meat,pan"
P02_109_4029.jpg,16,onion
P02_109_41870.jpg,6,lid
P02_109_41949.jpg,"5,6","pan,lid"
P02_109_4240.jpg,16,onion
P02_109_43018.jpg,0,tap
P02_109_44037.jpg,0,tap
P02_109_44839.jpg,0,tap
P02_109_44944.jpg,0,tap
P02_109_45071.jpg,11,hand
P02_109_4987.jpg,16,onion
P02_109_5237.jpg,16,onion
P02_109_5815.jpg,16,onion
P02_109_6457.jpg,16,onion
P02_109_6978.jpg,16,onion
P02_109_7239.jpg,16,onion
P02_109_7695.jpg,16,onion
P02_109_881.jpg,0,tap
P02_112_11740.jpg,11,hand
P02_112_1180.jpg,3,cupboard
P02_112_1430.jpg,6,lid
P02_112_15092.jpg,7,bowl
P02_112_15617.jpg,25,dough
P02_112_173.jpg,8,drawer
P02_112_17635.jpg,3,cupboard
P02_112_17778.jpg,2,plate
P02_112_17973.jpg,2,plate
P02_112_18147.jpg,6,lid
P02_112_1818.jpg,1,spoon
P02_112_18270.jpg,2,plate
P02_112_18741.jpg,2,plate
P02_112_19726.jpg,25,dough
P02_112_21437.jpg,2,plate
P02_112_22292.jpg,25,dough
P02_112_2283.jpg,"1,5","spoon,pan"
P02_112_23044.jpg,25,dough
P02_112_23384.jpg,25,dough
P02_112_2353.jpg,6,lid
P02_112_23691.jpg,2,plate
P02_112_23729.jpg,11,hand
P02_112_24231.jpg,25,dough
P02_112_25203.jpg,25,dough
P02_112_25318.jpg,2,plate
P02_112_25362.jpg,11,hand
P02_112_25823.jpg,25,dough
P02_112_26813.jpg,25,dough
P02_112_26984.jpg,2,plate
P02_112_2713.jpg,8,drawer
P02_112_27432.jpg,2,plate
P02_112_27449.jpg,11,hand
P02_112_2765.jpg,1,spoon
P02_112_27941.jpg,25,dough
P02_112_2819.jpg,8,drawer
P02_112_28806.jpg,25,dough
P02_112_28892.jpg,2,plate
P02_112_28940.jpg,11,hand
P02_112_29380.jpg,25,dough
P02_112_294.jpg,1,spoon
P02_112_30435.jpg,25,dough
P02_112_30520.jpg,2,plate
P02_112_30559.jpg,11,hand
P02_112_30999.jpg,25,dough
P02_112_31772.jpg,25,dough
P02_112_31872.jpg,2,plate
P02_112_31906.jpg,11,hand
P02_112_32199.jpg,25,dough
P02_112_33042.jpg,25,dough
P02_112_33482.jpg,25,dough
P02_112_33580.jpg,2,plate
P02_112_33605.jpg,11,hand
P02_112_33987.jpg,25,dough
P02_112_35123.jpg,25,dough
P02_112_35229.jpg,11,hand
P02_112_355.jpg,8,drawer
P02_112_35531.jpg,25,dough
P02_112_36155.jpg,25,dough
P02_112_36250.jpg,2,plate
P02_112_36292.jpg,11,hand
P02_112_36751.jpg,25,dough
P02_112_3677.jpg,"1,5","spoon,pan"
P02_112_37631.jpg,25,dough
P02_112_37744.jpg,2,plate
P02_112_37775.jpg,11,hand
P02_112_38177.jpg,25,dough
P02_112_38934.jpg,25,dough
P02_112_39034.jpg,2,plate
P02_112_39062.jpg,11,hand
P02_112_39505.jpg,25,dough
P02_112_3954.jpg,1,spoon
P02_112_40384.jpg,25,dough
P02_112_404.jpg,12,fridge
P02_112_40635.jpg,11,hand
P02_112_41015.jpg,25,dough
P02_112_4128.jpg,1,spoon
P02_112_42097.jpg,25,dough
P02_112_42264.jpg,2,plate
P02_112_42289.jpg,11,hand
P02_112_4253.jpg,5,pan
P02_112_42766.jpg,25,dough
P02_112_43912.jpg,11,hand
P02_112_44173.jpg,25,dough
P02_112_44685.jpg,25,dough
P02_112_44907.jpg,7,bowl
P02_112_45081.jpg,11,hand
P02_112_45446.jpg,11,hand
P02_112_46103.jpg,7,bowl
P02_112_46193.jpg,7,bowl
P02_112_46336.jpg,5,pan
P02_112_46420.jpg,5,pan
P02_112_46561.jpg,"28,5","meat,pan"
P02_112_46721.jpg,28,meat
P02_112_46811.jpg,"28,5","meat,pan"
P02_112_4691.jpg,28,meat
P02_112_46914.jpg,"28,25","meat,dough"
P02_112_46995.jpg,"28,5","meat,pan"
P02_112_47044.jpg,"28,25","meat,dough"
P02_112_47102.jpg,"28,5","meat,pan"
P02_112_47180.jpg,"28,25","meat,dough"
P02_112_47276.jpg,"28,5","meat,pan"
P02_112_47338.jpg,"28,25","meat,dough"
P02_112_47504.jpg,"28,5","meat,pan"
P02_112_47584.jpg,"28,25","meat,dough"
P02_112_47729.jpg,"28,5","meat,pan"
P02_112_47936.jpg,"28,25","meat,dough"
P02_112_48070.jpg,"28,5","meat,pan"
P02_112_48154.jpg,"28,25","meat,dough"
P02_112_48277.jpg,"28,5","meat,pan"
P02_112_48393.jpg,"28,25","meat,dough"
P02_112_48578.jpg,"28,5","meat,pan"
P02_112_48748.jpg,"28,25","meat,dough"
P02_112_48859.jpg,"28,5","meat,pan"
P02_112_48986.jpg,"28,25","meat,dough"
P02_112_49122.jpg,"28,5","meat,pan"
P02_112_49246.jpg,"28,25","meat,dough"
P02_112_49369.jpg,"28,5","meat,pan"
P02_112_49456.jpg,"28,25","meat,dough"
P02_112_49558.jpg,"28,5","meat,pan"
P02_112_49674.jpg,"28,25","meat,dough"
P02_112_49795.jpg,"28,5","meat,pan"
P02_112_49852.jpg,"28,25","meat,dough"
P02_112_49941.jpg,"28,5","meat,pan"
P02_112_50057.jpg,"28,25","meat,dough"
P02_112_50136.jpg,25,dough
P02_112_50238.jpg,"28,5","meat,pan"
P02_112_50355.jpg,"28,25","meat,dough"
P02_112_50474.jpg,"28,5","meat,pan"
P02_112_50617.jpg,"28,25","meat,dough"
P02_112_50749.jpg,"28,5","meat,pan"
P02_112_50847.jpg,"28,25","meat,dough"
P02_112_51941.jpg,"28,5","meat,pan"
P02_112_52024.jpg,"28,25","meat,dough"
P02_112_52137.jpg,"28,5","meat,pan"
P02_112_52297.jpg,"28,25","meat,dough"
P02_112_5245.jpg,1,spoon
P02_112_52533.jpg,"28,5","meat,pan"
P02_112_52579.jpg,"28,25","meat,dough"
P02_112_52713.jpg,"28,5","meat,pan"
P02_112_52790.jpg,"28,25","meat,dough"
P02_112_52914.jpg,"28,5","meat,pan"
P02_112_53064.jpg,"28,25","meat,dough"
P02_112_53174.jpg,"28,5","meat,pan"
P02_112_53277.jpg,"28,25","meat,dough"
P02_112_53391.jpg,"28,5","meat,pan"
P02_112_53528.jpg,"28,25","meat,dough"
P02_112_53633.jpg,"28,5","meat,pan"
P02_112_53754.jpg,"28,25","meat,dough"
P02_112_53892.jpg,"28,5","meat,pan"
P02_112_5393.jpg,6,lid
P02_112_54036.jpg,"28,25","meat,dough"
P02_112_54188.jpg,"28,5","meat,pan"
P02_112_54287.jpg,"28,25","meat,dough"
P02_112_54369.jpg,"28,5","meat,pan"
P02_112_54429.jpg,"28,25","meat,dough"
P02_112_54509.jpg,"28,5","meat,pan"
P02_112_54669.jpg,"28,25","meat,dough"
P02_112_54740.jpg,"28,25","meat,dough"
P02_112_54813.jpg,"28,5","meat,pan"
P02_112_54814.jpg,"28,5","meat,pan"
P02_112_54879.jpg,"28,25","meat,dough"
P02_112_55089.jpg,"28,5","meat,pan"
P02_112_55167.jpg,"28,25","meat,dough"
P02_112_55607.jpg,5,pan
P02_112_55671.jpg,5,pan
P02_112_55692.jpg,"28,5","meat,pan"
P02_112_55741.jpg,"28,25","meat,dough"
P02_112_55828.jpg,"28,25","meat,dough"
P02_112_55882.jpg,"28,5","meat,pan"
P02_112_56075.jpg,"28,5","meat,pan"
P02_112_56078.jpg,"28,5","meat,pan"
P02_112_56153.jpg,"28,25","meat,dough"
P02_112_56159.jpg,"28,25","meat,dough"
P02_112_56241.jpg,"28,5","meat,pan"
P02_112_5662.jpg,"1,5","spoon,pan"
P02_112_56782.jpg,"28,5","meat,pan"
P02_112_56926.jpg,"28,25","meat,dough"
P02_112_57048.jpg,"28,5","meat,pan"
P02_112_57207.jpg,"28,25","meat,dough"
P02_112_57509.jpg,"28,25","meat,dough"
P02_112_57637.jpg,"28,5","meat,pan"
P02_112_57759.jpg,"28,25","meat,dough"
P02_112_57873.jpg,"28,5","meat,pan"
P02_112_58000.jpg,"28,25","meat,dough"
P02_112_58153.jpg,"28,5","meat,pan"
P02_112_58293.jpg,"28,25","meat,dough"
P02_112_58520.jpg,"28,5","meat,pan"
P02_112_58669.jpg,28,meat
P02_112_5868.jpg,1,spoon
P02_112_58796.jpg,5,pan
P02_112_5909.jpg,6,lid
P02_112_6012.jpg,5,pan
P02_112_6282.jpg,28,meat
P02_112_653.jpg,12,fridge
P02_112_6568.jpg,3,cupboard
P02_112_7000.jpg,6,lid
P02_112_7075.jpg,"6,5","lid,pan"
P02_112_7230.jpg,5,pan
P02_112_7609.jpg,28,meat
P02_112_8092.jpg,"6,5","lid,pan"
P02_112_8106.jpg,6,lid
P02_112_8319.jpg,5,pan
P02_112_8644.jpg,28,meat
P02_112_867.jpg,3,cupboard
P02_112_9121.jpg,28,meat
P02_112_9255.jpg,1,spoon
P02_112_9397.jpg,6,lid
P02_112_9680.jpg,3,cupboard
P02_129_10074.jpg,6,lid
P02_129_10478.jpg,6,lid
P02_129_10590.jpg,6,lid
P02_129_10675.jpg,"6,5","lid,pan"
P02_129_11155.jpg,5,pan
P02_129_1170.jpg,5,pan
P02_129_11736.jpg,6,lid
P02_129_11795.jpg,"5,6","pan,lid"
P02_129_12062.jpg,3,cupboard
P02_129_12156.jpg,3,cupboard
P02_129_12315.jpg,3,cupboard
P02_129_12465.jpg,3,cupboard
P02_129_12726.jpg,3,cupboard
P02_129_12974.jpg,3,cupboard
P02_129_1306.jpg,5,pan
P02_129_13288.jpg,3,cupboard
P02_129_13487.jpg,3,cupboard
P02_129_13664.jpg,6,lid
P02_129_13738.jpg,6,lid
P02_129_1391.jpg,5,pan
P02_129_13963.jpg,2,plate
P02_129_14091.jpg,3,cupboard
P02_129_14164.jpg,"2,3","plate,cupboard"
P02_129_14470.jpg,12,fridge
P02_129_14537.jpg,12,fridge
P02_129_14595.jpg,12,fridge
P02_129_1473.jpg,3,cupboard
P02_129_15022.jpg,6,lid
P02_129_15093.jpg,5,pan
P02_129_15148.jpg,3,cupboard
P02_129_15319.jpg,"5,3","pan,cupboard"
P02_129_15501.jpg,3,cupboard
P02_129_15751.jpg,12,fridge
P02_129_15872.jpg,12,fridge
P02_129_16105.jpg,8,drawer
P02_129_16157.jpg,1,spoon
P02_129_1637.jpg,3,cupboard
P02_129_16516.jpg,6,lid
P02_129_16997.jpg,1,spoon
P02_129_17115.jpg,6,lid
P02_129_17144.jpg,1,spoon
P02_129_17196.jpg,1,spoon
P02_129_17283.jpg,"1,5","spoon,pan"
P02_129_17564.jpg,5,pan
P02_129_17816.jpg,1,spoon
P02_129_17861.jpg,6,lid
P02_129_18111.jpg,12,fridge
P02_129_18130.jpg,12,fridge
P02_129_18253.jpg,12,fridge
P02_129_18403.jpg,0,tap
P02_129_18465.jpg,11,hand
P02_129_18540.jpg,0,tap
P02_129_18580.jpg,11,hand
P02_129_18648.jpg,1,spoon
P02_129_18956.jpg,5,pan
P02_129_19229.jpg,1,spoon
P02_129_19486.jpg,3,cupboard
P02_129_19611.jpg,3,cupboard
P02_129_19738.jpg,3,cupboard
P02_129_19873.jpg,10,glass
P02_129_19952.jpg,3,cupboard
P02_129_20000.jpg,"10,3","glass,cupboard"
P02_129_20080.jpg,10,glass
P02_129_20135.jpg,"10,3","glass,cupboard"
P02_129_2015.jpg,5,pan
P02_129_21306.jpg,3,cupboard
P02_129_21370.jpg,3,cupboard
P02_129_21411.jpg,3,cupboard
P02_129_21492.jpg,2,plate
P02_129_21610.jpg,"2,3","plate,cupboard"
P02_129_21686.jpg,"2,3","plate,cupboard"
P02_129_21825.jpg,1,spoon
P02_129_22069.jpg,5,pan
P02_129_22323.jpg,1,spoon
P02_129_22576.jpg,8,drawer
P02_129_22639.jpg,"1,8","spoon,drawer"
P02_129_22677.jpg,"4,8","knife,drawer"
P02_129_22723.jpg,8,drawer
P02_129_23235.jpg,9,sponge
P02_129_23278.jpg,0,tap
P02_129_23323.jpg,9,sponge
P02_129_23341.jpg,0,tap
P02_129_23382.jpg,9,sponge
P02_129_23445.jpg,9,sponge
P02_129_23542.jpg,1,spoon
P02_129_23624.jpg,1,spoon
P02_129_23699.jpg,9,sponge
P02_129_23739.jpg,0,tap
P02_129_23838.jpg,1,spoon
P02_129_23915.jpg,0,tap
P02_129_23966.jpg,1,spoon
P02_129_23990.jpg,2,plate
P02_129_24016.jpg,9,sponge
P02_129_24110.jpg,2,plate
P02_129_24214.jpg,9,sponge
P02_129_24237.jpg,0,tap
P02_129_24383.jpg,2,plate
P02_129_24513.jpg,0,tap
P02_129_24573.jpg,2,plate
P02_129_24610.jpg,9,sponge
P02_129_25071.jpg,9,sponge
P02_129_25119.jpg,0,tap
P02_129_25280.jpg,0,tap
P02_129_25408.jpg,9,sponge
P02_129_2541.jpg,5,pan
P02_129_25489.jpg,9,sponge
P02_129_25553.jpg,9,sponge
P02_129_25732.jpg,1,spoon
P02_129_25995.jpg,5,pan
P02_129_26360.jpg,1,spoon
P02_129_26804.jpg,9,sponge
P02_129_26812.jpg,4,knife
P02_129_26901.jpg,4,knife
P02_129_26984.jpg,4,knife
P02_129_27064.jpg,4,knife
P02_129_27159.jpg,4,knife
P02_129_27252.jpg,4,knife
P02_129_27333.jpg,4,knife
P02_129_27416.jpg,4,knife
P02_129_27529.jpg,4,knife
P02_129_27627.jpg,4,knife
P02_129_27731.jpg,4,knife
P02_129_27863.jpg,4,knife
P02_129_27966.jpg,9,sponge
P02_129_280.jpg,6,lid
P02_129_28003.jpg,0,tap
P02_129_28245.jpg,4,knife
P02_129_28495.jpg,0,tap
P02_129_28615.jpg,4,knife
P02_129_28693.jpg,9,sponge
P02_129_29056.jpg,9,sponge
P02_129_29101.jpg,0,tap
P02_129_29281.jpg,0,tap
P02_129_29370.jpg,1,spoon
P02_129_29375.jpg,9,sponge
P02_129_29466.jpg,1,spoon
P02_129_29555.jpg,1,spoon
P02_129_29652.jpg,1,spoon
P02_129_29737.jpg,1,spoon
P02_129_29751.jpg,1,spoon
P02_129_30073.jpg,4,knife
P02_129_30209.jpg,4,knife
P02_129_30394.jpg,14,fork
P02_129_30579.jpg,14,fork
P02_129_30672.jpg,9,sponge
P02_129_30721.jpg,0,tap
P02_129_30808.jpg,14,fork
P02_129_30858.jpg,14,fork
P02_129_30912.jpg,4,knife
